Gender,Ethnicity,Child's First Name
FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe
FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia
FEMALE,ASIAN AND PACIFIC ISLANDER,Mia
FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia
FEMALE,ASIAN AND PACIFIC ISLANDER,Emma
FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia
FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte
FEMALE,ASIAN AND PACIFIC ISLANDER,Emily
FEMALE,ASIAN AND PACIFIC ISLANDER,Grace
FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella
FEMALE,ASIAN AND PACIFIC ISLANDER,Ella
FEMALE,ASIAN AND PACIFIC ISLANDER,Ava
FEMALE,ASIAN AND PACIFIC ISLANDER,Evelyn
FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah
FEMALE,ASIAN AND PACIFIC ISLANDER,Bella
FEMALE,ASIAN AND PACIFIC ISLANDER,Aria
FEMALE,ASIAN AND PACIFIC ISLANDER,Hailey
FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah
FEMALE,ASIAN AND PACIFIC ISLANDER,Arya
FEMALE,ASIAN AND PACIFIC ISLANDER,Claire
FEMALE,ASIAN AND PACIFIC ISLANDER,Ellie
FEMALE,ASIAN AND PACIFIC ISLANDER,Fatima
FEMALE,ASIAN AND PACIFIC ISLANDER,Kayla
FEMALE,ASIAN AND PACIFIC ISLANDER,Maryam
FEMALE,ASIAN AND PACIFIC ISLANDER,Zoe
FEMALE,ASIAN AND PACIFIC ISLANDER,Audrey
FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail
FEMALE,ASIAN AND PACIFIC ISLANDER,Anna
FEMALE,ASIAN AND PACIFIC ISLANDER,Avery
FEMALE,ASIAN AND PACIFIC ISLANDER,Alyssa
FEMALE,ASIAN AND PACIFIC ISLANDER,Maya
FEMALE,ASIAN AND PACIFIC ISLANDER,Tenzin
FEMALE,ASIAN AND PACIFIC ISLANDER,Alice
FEMALE,ASIAN AND PACIFIC ISLANDER,Celine
FEMALE,ASIAN AND PACIFIC ISLANDER,Emilia
FEMALE,ASIAN AND PACIFIC ISLANDER,Inaaya
FEMALE,ASIAN AND PACIFIC ISLANDER,Jasmine
FEMALE,ASIAN AND PACIFIC ISLANDER,Riley
FEMALE,ASIAN AND PACIFIC ISLANDER,Sofia
FEMALE,ASIAN AND PACIFIC ISLANDER,Zoey
FEMALE,ASIAN AND PACIFIC ISLANDER,Alina
FEMALE,ASIAN AND PACIFIC ISLANDER,Fiona
FEMALE,ASIAN AND PACIFIC ISLANDER,Joanna
FEMALE,ASIAN AND PACIFIC ISLANDER,Anaya
FEMALE,ASIAN AND PACIFIC ISLANDER,Annie
FEMALE,ASIAN AND PACIFIC ISLANDER,Ayesha
FEMALE,ASIAN AND PACIFIC ISLANDER,Eva
FEMALE,ASIAN AND PACIFIC ISLANDER,Leah
FEMALE,ASIAN AND PACIFIC ISLANDER,Luna
FEMALE,ASIAN AND PACIFIC ISLANDER,Sophie
FEMALE,ASIAN AND PACIFIC ISLANDER,Zainab
FEMALE,ASIAN AND PACIFIC ISLANDER,Amaya
FEMALE,ASIAN AND PACIFIC ISLANDER,Angela
FEMALE,ASIAN AND PACIFIC ISLANDER,Elena
FEMALE,ASIAN AND PACIFIC ISLANDER,Mila
FEMALE,ASIAN AND PACIFIC ISLANDER,Anabia
FEMALE,ASIAN AND PACIFIC ISLANDER,Inaya
FEMALE,ASIAN AND PACIFIC ISLANDER,Ariana
FEMALE,ASIAN AND PACIFIC ISLANDER,Manha
FEMALE,ASIAN AND PACIFIC ISLANDER,Penelope
FEMALE,ASIAN AND PACIFIC ISLANDER,Zara
FEMALE,ASIAN AND PACIFIC ISLANDER,Katherine
FEMALE,ASIAN AND PACIFIC ISLANDER,Nina
FEMALE,ASIAN AND PACIFIC ISLANDER,Aiza
FEMALE,ASIAN AND PACIFIC ISLANDER,Kylie
FEMALE,ASIAN AND PACIFIC ISLANDER,Jannatul
FEMALE,ASIAN AND PACIFIC ISLANDER,Irene
FEMALE,ASIAN AND PACIFIC ISLANDER,Harper
